code,ratio_eco_total,ratio_orgashop,ratio_mart,orgashop_mart,orgashop,mart_wo_orga,mart_orga,orga_total,eco_wo_orga,exp_total,sel1,sel2,sel3,sel4,sel5,sel6,heal1,heal2,heal3,heal4,heal5,sec1,sec2,sec3,sec4,fre1,fre2,fre3,econ1,econ2,econ3,econ4,tast1,tast2,tast3,plea1,plea2,plea3,habi1,habi2,habi3,atti1,atti2,atti3,atti4,atti5,atti6,heal,econ,habit,info,local,new,no_add,plea,sec,taste,ratio_orga_total,ratio_orga_shop,ratio_mart_eco,_clus_1,_clus_2,_clus_3,_clus_4,_clus_5,_clus_6,_clus_7,_clus_8,_clus_9,_clus_10,_clus_11,_clus_12,_clus_13,_clus_14,_clus_15,_clus_16,_clus_17,_clus_18,_clus_19,_clus_20,_clus_21,_clus_22,_clus_23,_clus_24,_clus_25,_clus_26,_clus_27,_clus_28,_clus_29,_clus_30
1317,.0079794,.1849595,.8150405,139490,25800,79710,33980,59780,79710,1.75e+07,7,6,6,6,6,4,6,6,4,3,4,7,7,5,4,7,6,6,6,5,4,4,6,4,4,3,3,5,5,3,5,6,4,4,4,4,4,.0564,.1502,-.3257,-1.0992,-.6091,-.9957,1.5309,-.5103,-.2562,-.5925,.0079794,.0014759,.0065036,1,2,2,4,1,4,5,3,1,2,2,2,4,6,6,6,1,6,4,3,1,2,5,2,4,1,2,5,4,4
1318,.0090273,.7623569,.2376431,166182,126690,11652,27840,154530,11652,1.84e+07,7,7,7,6,7,4,7,3,3,4,4,7,6,6,7,7,7,7,6,7,6,5,7,5,4,7,7,7,7,1,7,4,7,7,5,5,6,-1.1031,1.3093,1.2406,.6745,.2501,.1741,1.0865,2.2028,.9733,.023,.0090273,.006882,.0021453,2,3,4,1,1,4,5,1,3,1,3,1,1,2,2,1,5,3,3,2,6,3,6,6,3,3,6,5,3,3
1319,.001122,0,1,18572,0,12772,5800,5800,12772,1.66e+07,7,6,6,6,7,5,5,7,4,5,4,7,6,7,6,4,2,4,6,4,2,4,7,5,4,3,4,4,3,2,4,6,6,6,5,7,6,.1445,-.2926,-1.3502,.8008,.5197,-1.3127,1.0865,-.2401,1.0592,.023,.001122,0,.001122,2,2,3,5,2,2,2,3,1,4,1,5,3,3,1,4,3,1,6,4,4,4,5,1,4,2,3,4,1,4
1320,.0143554,.6522418,.3477582,192260,125400,65440,1420,126820,65440,1.34e+07,6,6,5,5,6,6,5,5,4,5,2,6,6,7,7,7,7,7,6,5,4,3,6,4,4,6,5,6,7,5,6,7,5,5,4,4,5,-.6453,-.3431,.6988,-.5815,.3722,.9913,.7115,.8462,.8022,-.5925,.0143554,.0093632,.0049922,2,3,3,5,2,2,2,1,3,5,5,6,7,1,1,3,5,4,3,5,3,5,4,6,1,4,2,5,6,5
1321,.0079571,.0963218,.9036782,122506,11800,88226,22480,34280,88226,1.54e+07,1,1,1,1,1,1,7,5,6,4,4,6,6,6,3,7,7,7,7,5,2,2,7,3,3,3,3,6,7,3,6,7,4,7,2,4,4,.5317,-1.0561,.6988,-.6303,-.1921,-.9957,.7115,-.2382,-.1704,-1.284,.0079571,.0007664,.0071907,1,2,2,4,2,2,2,3,1,2,2,2,4,6,6,6,1,6,2,3,1,1,5,3,5,1,2,3,4,6
1322,.0199083,.4254027,.5745973,237140,100880,100260,36000,136880,100260,1.19e+07,6,6,7,5,6,4,6,7,6,5,6,6,7,7,6,7,6,6,6,3,2,1,7,3,5,6,3,3,5,6,6,6,5,5,5,5,6,1.0146,-1.9955,.2161,.0681,-.0447,1.3083,1.1558,-1.0544,1.6022,-1.1319,.0199083,.0084691,.0114393,2,2,3,5,2,2,2,1,1,4,1,6,3,4,1,3,3,6,2,4,3,4,4,1,4,1,2,3,6,5
1323,.0081977,0,1,105978,0,60038,45940,45940,60038,1.29e+07,7,7,7,7,7,7,4,1,4,5,4,7,7,7,4,4,7,4,4,7,7,4,7,7,7,4,6,2,7,6,6,7,4,4,4,4,4,-2.5317,.9259,.6988,-1.0992,-.1921,.4064,1.5309,.3002,.4874,1.4821,.0081977,0,.0081977,2,3,4,1,1,4,5,1,2,5,5,3,8,1,5,2,2,2,4,6,5,2,1,5,1,4,5,5,2,1
1324,.0077761,0,1,104020,0,49740,54280,54280,49740,1.34e+07,6,7,6,6,5,2,4,6,6,2,3,6,6,5,6,7,7,6,7,6,2,2,6,4,2,4,4,6,5,3,4,6,6,5,5,5,5,.0061,-.833,-.8675,-.1464,.5197,-.5447,.7115,.304,.0441,-.7446,.0077761,0,.0077761,2,2,2,4,2,2,2,3,1,4,1,5,3,3,6,4,1,1,6,4,4,4,4,1,4,6,2,4,1,4
1357,.0003259,0,1,5950,0,5950,0,0,5950,1.83e+07,6,6,6,6,6,5,6,7,6,4,2,6,6,4,4,6,6,6,6,6,4,4,6,6,6,6,4,4,6,6,6,4,4,4,4,4,4,1.0146,.3733,.4574,-1.0992,-1.443,1.3083,.7115,-.2401,-1.171,.7905,.0003259,0,.0003259,1,3,4,1,1,3,3,3,2,5,5,3,8,1,5,2,2,2,4,6,6,3,1,5,2,2,5,1,3,1
1358,.0041367,.3463495,.6536505,66840,23150,29640,14050,37200,29640,1.62e+07,4,4,4,4,5,4,5,5,5,4,3,4,3,3,3,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,4,5,5,5,5,5,-.3636,-.676,-1.892,-.1464,-.8786,-.9957,-1.3716,-1.0544,-1.5573,-1.284,.0041367,.0014328,.002704,1,1,1,2,3,1,4,2,4,3,6,4,6,5,4,5,6,5,1,1,2,1,3,3,5,5,1,3,5,6
